Disease,Symptom_0,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,yellowing_of_eyes,,,,,,,,,
hepatitis_e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,coma,stomach_bleeding,,,,,
hepatitis_e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,
hepatitis_e,joint_pain,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,
hepatitis_e,joint_pain,vomiting,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,
hepatitis_e,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,
hepatitis_e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,
hepatitis_e,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,
hepatitis_e,joint_pain,vomiting,fatigue,high_fever,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,
hepatitis_e,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding,,,,,
hypertension,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
hypertension,headache,chest_pain,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
hypertension,headache,chest_pain,dizziness,lack_of_concentration,,,,,,,,,,,,,
hypertension,headache,chest_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
hypertension,headache,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
hyperthyroidism,fatigue,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
hyperthyroidism,fatigue,mood_swings,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
hyperthyroidism,fatigue,mood_swings,weight_loss,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,
hyperthyroidism,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
hypoglycemia,vomiting,fatigue,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
hypoglycemia,vomiting,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
hypoglycemia,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,
hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,slurred_speech,irritability,palpitations,,,,,,
hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
hypoglycemia,vomiting,fatigue,anxiety,sweating,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
hypoglycemia,vomiting,fatigue,anxiety,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
hypothyroidism,fatigue,cold_hands_and_feet,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremities,depression,irritability,abnormal_menstruation,,,,,
hypothyroidism,fatigue,weight_gain,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremities,depression,irritability,abnormal_menstruation,,,,,
hypothyroidism,fatigue,weight_gain,cold_hands_and_feet,mood_swings,lethargy,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremities,depression,irritability,abnormal_menstruation,,,,,
hypothyroidism,fatigue,weight_gain,cold_hands_and_feet,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremities,depression,irritability,abnormal_menstruation,,,,,
hypothyroidism,fatigue,weight_gain,cold_hands_and_feet,mood_swings,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremities,depression,irritability,abnormal_menstruation,,,,,
hypothyroidism,fatigue,weight_gain,cold_hands_and_feet,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremities,depression,irritability,abnormal_menstruation,,,,
hypothyroidism,weight_gain,cold_hands_and_feet,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremities,depression,irritability,abnormal_menstruation,,,,,
hypothyroidism,fatigue,weight_gain,cold_hands_and_feet,mood_swings,lethargy,dizziness,enlarged_thyroid,brittle_nails,swollen_extremities,depression,irritability,abnormal_menstruation,,,,,
impetigo,skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,
impetigo,high_fever,blister,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,
impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,
impetigo,skin_rash,high_fever,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,
impetigo,skin_rash,high_fever,blister,yellow_crust_ooze,,,,,,,,,,,,,
impetigo,skin_rash,high_fever,blister,red_sore_around_nose,,,,,,,,,,,,,
jaundice,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,
jaundice,itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,
jaundice,itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,
jaundice,itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain,,,,,,,,,,
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain,,,,,,,,,,
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,,,,,,,,,,
jaundice,itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,
malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,
malaria,chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,
malaria,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
malaria,chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,,,,,,,,,,
malaria,chills,vomiting,high_fever,sweating,headache,diarrhoea,muscle_pain,,,,,,,,,,
malaria,chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
migraine,acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances,,,,,,,,,
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,,,,,,,,,
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances,,,,,,,,,
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances,,,,,,,,,
osteoarthritis,joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking,,,,,,,,,,,
osteoarthritis,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking,,,,,,,,,,,,
osteoarthritis,joint_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking,,,,,,,,,,,,
osteoarthritis,joint_pain,neck_pain,hip_joint_pain,swelling_joints,painful_walking,,,,,,,,,,,,
osteoarthritis,joint_pain,neck_pain,knee_pain,swelling_joints,painful_walking,,,,,,,,,,,,
osteoarthritis,joint_pain,neck_pain,knee_pain,hip_joint_pain,painful_walking,,,,,,,,,,,,
osteoarthritis,joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,,,,,,,,,,,,
paralysis_brain_hemorrhage,vomiting,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,
paralysis_brain_hemorrhage,vomiting,headache,altered_sensorium,,,,,,,,,,,,,,
paralysis_brain_hemorrhage,vomiting,headache,weakness_of_one_body_side,,,,,,,,,,,,,,
paralysis_brain_hemorrhage,headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,
paralysis_brain_hemorrhage,vomiting,headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,
paroxysmal_positional_vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,
paroxysmal_positional_vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,,,,,,,,,,,,
paroxysmal_positional_vertigo,vomiting,headache,nausea,spinning_movements,unsteadiness,,,,,,,,,,,,
paroxysmal_positional_vertigo,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,
paroxysmal_positional_vertigo,vomiting,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,
paroxysmal_positional_vertigo,vomiting,headache,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,
paroxysmal_positional_vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,
peptic_ulcer_disease,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,
peptic_ulcer_disease,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,
peptic_ulcer_disease,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching,,,,,,,,,,,,
peptic_ulcer_disease,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching,,,,,,,,,,,,
peptic_ulcer_disease,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,
peptic_ulcer_disease,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,
peptic_ulcer_disease,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,
pneumonia,chills,fatigue,cough,high_fever,breathlessness,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,
pneumonia,chills,fatigue,cough,high_fever,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,
pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,
pneumonia,chills,fatigue,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,
pneumonia,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,
pneumonia,chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,
pneumonia,chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum,,,,,,,
psoriasis,skin_rash,joint_pain,skin_peeling,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,,
psoriasis,skin_rash,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,,
psoriasis,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,,
psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,
psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,inflammatory_nails,,,,,,,,,,,,
psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,,,,,,,,,,,,
psoriasis,skin_rash,joint_pain,silver_like_dusting,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,,
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,
tuberculosis,chills,vomiting,fatigue,weight_loss,high_fever,breathlessness,sweating,loss_of_appetite,fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,
tuberculosis,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,
tuberculosis,chills,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,
tuberculosis,chills,vomiting,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,
tuberculosis,chills,vomiting,fatigue,cough,high_fever,breathlessness,sweating,loss_of_appetite,fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,loss_of_appetite,fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,high_fever,sweating,loss_of_appetite,fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,
tuberculosis,chills,vomiting,fatigue,weight_loss,cough,breathlessness,sweating,loss_of_appetite,fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum,,
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhus),,,,,,,
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,belly_pain,,,,,,,
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhus),belly_pain,,,,,,,
typhoid,chills,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhus),belly_pain,,,,,,,
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhus),belly_pain,,,,,,,
typhoid,chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhus),belly_pain,,,,,,,
typhoid,chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhus),belly_pain,,,,,,,
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhus),belly_pain,,,,,,
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhus),belly_pain,,,,,,,
urinary_tract_infection,burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine,,,,,,,,,,,,,
urinary_tract_infection,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine,,,,,,,,,,,,,,
urinary_tract_infection,burning_micturition,foul_smell_of_urine,continuous_feel_of_urine,,,,,,,,,,,,,,
urinary_tract_infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,,,,,,,,,,,,,,
urinary_tract_infection,burning_micturition,bladder_discomfort,foul_smell_of_urine,,,,,,,,,,,,,,
varicose_veins,fatigue,cramps,bruising,obesity,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,
varicose_veins,fatigue,cramps,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,
varicose_veins,fatigue,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,
varicose_veins,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,
varicose_veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,
varicose_veins,fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf,,,,,,,,,,,
varicose_veins,fatigue,cramps,bruising,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,
varicose_veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,,,,,,,,,,,
